epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,24640.9,1.18179,0.63098,1.12776,0.87457,0.79013,0.87876,0.58993,1.1058,0.56592,1.12681,0.005842,0.005842,0.005842
44,25012.4,1.17936,0.63365,1.13027,0.87376,0.79161,0.87955,0.59093,1.10367,0.56429,1.12577,0.005743,0.005743,0.005743
45,25383.9,1.17722,0.63143,1.12647,0.87472,0.7916,0.88005,0.59184,1.1018,0.56207,1.12507,0.005644,0.005644,0.005644
46,25755.2,1.17679,0.62989,1.12808,0.87469,0.79204,0.88032,0.59274,1.09992,0.56025,1.12405,0.005545,0.005545,0.005545
47,26126.7,1.17509,0.62664,1.1231,0.87454,0.79288,0.8805,0.59332,1.09867,0.55896,1.12323,0.005446,0.005446,0.005446
48,26499.2,1.16758,0.62261,1.12068,0.87344,0.79384,0.88076,0.59407,1.09729,0.55756,1.12253,0.005347,0.005347,0.005347
49,26870.5,1.17032,0.62513,1.12324,0.87407,0.7949,0.8813,0.59469,1.09703,0.55667,1.12221,0.005248,0.005248,0.005248
50,27242.2,1.16454,0.62088,1.11934,0.87468,0.79477,0.88154,0.59539,1.0952,0.55548,1.12123,0.005149,0.005149,0.005149
51,27613.6,1.16709,0.62127,1.11999,0.87484,0.79565,0.88199,0.59575,1.09349,0.55448,1.12007,0.00505,0.00505,0.00505
52,27985.4,1.16063,0.61662,1.12042,0.87653,0.79428,0.88185,0.59617,1.09237,0.55314,1.11989,0.004951,0.004951,0.004951
53,28356.8,1.15697,0.61219,1.11623,0.87718,0.79441,0.88209,0.5968,1.09111,0.55179,1.11929,0.004852,0.004852,0.004852
54,28728.1,1.16055,0.61731,1.1167,0.87722,0.79463,0.88235,0.59714,1.09066,0.55123,1.1189,0.004753,0.004753,0.004753
55,29116.6,1.15531,0.618,1.11405,0.87824,0.7946,0.8826,0.59752,1.08966,0.55048,1.11841,0.004654,0.004654,0.004654
56,29488.3,1.15458,0.60933,1.11581,0.87824,0.79456,0.88284,0.59809,1.08865,0.54975,1.1179,0.004555,0.004555,0.004555
57,29859.5,1.15263,0.60842,1.11305,0.87704,0.79563,0.88309,0.59841,1.08808,0.54909,1.11776,0.004456,0.004456,0.004456
58,30231.3,1.14884,0.60583,1.11384,0.87691,0.79582,0.88342,0.59882,1.0874,0.54836,1.11751,0.004357,0.004357,0.004357
59,30603.1,1.14669,0.60281,1.10888,0.87609,0.79677,0.88355,0.59932,1.08681,0.54768,1.11715,0.004258,0.004258,0.004258
60,30974.8,1.14183,0.60043,1.10525,0.87665,0.79685,0.88384,0.59967,1.08633,0.54685,1.11686,0.004159,0.004159,0.004159
61,31355.7,1.14379,0.59917,1.10694,0.87676,0.79681,0.88377,0.5999,1.08567,0.546,1.11646,0.00406,0.00406,0.00406
62,31736.7,1.13974,0.60002,1.10586,0.87681,0.79688,0.88399,0.60048,1.08481,0.54556,1.11604,0.003961,0.003961,0.003961
63,32119.2,1.13225,0.59305,1.10696,0.87763,0.7966,0.88417,0.60085,1.08424,0.5449,1.11591,0.003862,0.003862,0.003862
64,32507,1.13337,0.59191,1.10479,0.87699,0.79753,0.88457,0.60117,1.08366,0.54429,1.11554,0.003763,0.003763,0.003763
65,32894.6,1.12888,0.59172,1.10275,0.87712,0.79753,0.88472,0.60145,1.08279,0.54374,1.11512,0.003664,0.003664,0.003664
66,33282,1.12559,0.58737,1.09924,0.8767,0.79788,0.88489,0.60157,1.08204,0.54308,1.11479,0.003565,0.003565,0.003565
67,33669.4,1.12492,0.58427,1.09704,0.87703,0.79805,0.88506,0.60195,1.08114,0.54233,1.11431,0.003466,0.003466,0.003466
68,34064,1.12474,0.58705,1.09679,0.87704,0.79819,0.88522,0.60229,1.0804,0.54172,1.11387,0.003367,0.003367,0.003367
69,34625.2,1.11977,0.58353,1.09739,0.87699,0.79835,0.88524,0.60257,1.07958,0.54126,1.11346,0.003268,0.003268,0.003268
70,35047.3,1.12198,0.58358,1.09737,0.87686,0.79882,0.88535,0.60286,1.07868,0.54062,1.11307,0.003169,0.003169,0.003169
71,35461.8,1.11841,0.5797,1.09341,0.87739,0.79847,0.8855,0.60316,1.07804,0.54001,1.11268,0.00307,0.00307,0.00307
72,35869.4,1.11275,0.57831,1.09409,0.8777,0.79866,0.88567,0.60345,1.07731,0.5394,1.11228,0.002971,0.002971,0.002971
73,36279,1.11114,0.57386,1.09111,0.87747,0.7991,0.88583,0.60367,1.07658,0.53893,1.112,0.002872,0.002872,0.002872
74,36699.2,1.11059,0.57683,1.09377,0.8774,0.79956,0.88596,0.60388,1.076,0.53847,1.11162,0.002773,0.002773,0.002773
75,37104,1.11007,0.5744,1.09033,0.87714,0.80032,0.8862,0.60418,1.07541,0.53794,1.11128,0.002674,0.002674,0.002674
76,37512.8,1.1075,0.57167,1.08973,0.87735,0.80052,0.88631,0.60444,1.07486,0.53743,1.11099,0.002575,0.002575,0.002575
77,37924.9,1.10302,0.57014,1.08567,0.87788,0.8006,0.88637,0.60473,1.07428,0.53692,1.11071,0.002476,0.002476,0.002476
78,38341.9,1.10126,0.56489,1.08625,0.87752,0.8011,0.88645,0.60491,1.07375,0.53632,1.11037,0.002377,0.002377,0.002377
79,38760,1.09641,0.56274,1.08483,0.87748,0.80128,0.88646,0.60498,1.07336,0.53583,1.1102,0.002278,0.002278,0.002278
80,39176.6,1.09724,0.56432,1.08455,0.8776,0.80141,0.88667,0.60529,1.07297,0.53528,1.11004,0.002179,0.002179,0.002179
81,39592.4,1.09519,0.56204,1.08131,0.87755,0.80137,0.88682,0.60548,1.07254,0.53476,1.10983,0.00208,0.00208,0.00208
82,40322.3,1.09488,0.55743,1.08045,0.87762,0.80139,0.88702,0.6057,1.07207,0.53419,1.10956,0.001981,0.001981,0.001981
83,40745.5,1.09126,0.55746,1.07962,0.87777,0.80159,0.88728,0.60592,1.07165,0.53378,1.10937,0.001882,0.001882,0.001882
84,41163,1.08502,0.55407,1.0775,0.87726,0.80237,0.88736,0.6062,1.07125,0.53334,1.1092,0.001783,0.001783,0.001783
85,41574.3,1.08414,0.55448,1.07862,0.87776,0.80198,0.88742,0.60641,1.07082,0.53291,1.10895,0.001684,0.001684,0.001684
86,42374.5,1.08359,0.55231,1.07484,0.87788,0.80209,0.8876,0.60662,1.07044,0.53255,1.10875,0.001585,0.001585,0.001585
87,42778.2,1.0775,0.5487,1.07361,0.87791,0.80206,0.88756,0.60679,1.07015,0.53206,1.10861,0.001486,0.001486,0.001486
88,43186.2,1.07622,0.54448,1.0717,0.87771,0.8025,0.88782,0.60701,1.06976,0.53167,1.10837,0.001387,0.001387,0.001387
89,43605.3,1.07331,0.5432,1.07072,0.878,0.80262,0.88788,0.6072,1.06935,0.53127,1.10816,0.001288,0.001288,0.001288
90,44555.6,1.06696,0.54133,1.07035,0.87793,0.80274,0.888,0.60748,1.06902,0.53071,1.10793,0.001189,0.001189,0.001189
91,44964.1,1.03893,0.52109,1.07397,0.87816,0.80281,0.88803,0.60759,1.06884,0.53033,1.10782,0.00109,0.00109,0.00109
92,45373.1,1.03368,0.51703,1.06983,0.87715,0.80383,0.88827,0.60781,1.0686,0.52987,1.10764,0.000991,0.000991,0.000991
93,45774.1,1.03074,0.51456,1.06778,0.87757,0.80374,0.88838,0.60795,1.06839,0.52945,1.10756,0.000892,0.000892,0.000892
94,46170.9,1.02544,0.51119,1.06541,0.87864,0.80314,0.8885,0.60814,1.06815,0.52896,1.10741,0.000793,0.000793,0.000793
95,46579.5,1.02422,0.50833,1.0636,0.87795,0.80383,0.8885,0.60815,1.06797,0.52849,1.10727,0.000694,0.000694,0.000694
96,46998.7,1.02008,0.50637,1.06287,0.87811,0.80389,0.88853,0.60833,1.0679,0.52803,1.10727,0.000595,0.000595,0.000595
97,47395.8,1.01933,0.50477,1.06037,0.87771,0.80451,0.88875,0.60847,1.0679,0.52775,1.10723,0.000496,0.000496,0.000496
98,47809.2,1.0166,0.5033,1.05943,0.87773,0.80472,0.88887,0.60865,1.06772,0.52743,1.10712,0.000397,0.000397,0.000397
99,48226.3,1.0133,0.50144,1.05955,0.87787,0.80472,0.88899,0.60873,1.06776,0.527,1.10713,0.000298,0.000298,0.000298
100,48637.7,1.01096,0.4993,1.05862,0.87806,0.80466,0.88901,0.60883,1.06774,0.52667,1.10713,0.000199,0.000199,0.000199
