epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,11623.1,1.36898,0.78687,1.19484,0.84643,0.70836,0.81793,0.50725,1.26134,0.70497,1.17875,0.005842,0.005842,0.005842
44,11882.3,1.36599,0.78548,1.19649,0.84712,0.70854,0.81813,0.50732,1.26068,0.70378,1.17834,0.005743,0.005743,0.005743
45,12142.8,1.36416,0.78575,1.19374,0.84809,0.70833,0.81864,0.50853,1.25885,0.70254,1.17716,0.005644,0.005644,0.005644
46,12402,1.36298,0.7852,1.19508,0.84765,0.70918,0.81932,0.50925,1.25769,0.70123,1.17571,0.005545,0.005545,0.005545
47,12659.9,1.36028,0.78287,1.1906,0.84669,0.71071,0.8199,0.5096,1.25782,0.70065,1.17529,0.005446,0.005446,0.005446
48,12918.8,1.35614,0.7794,1.18765,0.8469,0.71093,0.81996,0.50988,1.25796,0.7,1.17504,0.005347,0.005347,0.005347
49,13178.9,1.35774,0.77985,1.18964,0.84888,0.71087,0.8205,0.5102,1.25719,0.69886,1.1747,0.005248,0.005248,0.005248
50,13437.2,1.35157,0.77803,1.18635,0.84966,0.7104,0.82072,0.51083,1.25547,0.69768,1.17372,0.005149,0.005149,0.005149
51,13695.4,1.3571,0.77786,1.18791,0.85075,0.71055,0.82098,0.51145,1.25272,0.69628,1.1725,0.00505,0.00505,0.00505
52,13956,1.34928,0.774,1.18511,0.85038,0.71117,0.82146,0.51197,1.25092,0.695,1.17152,0.004951,0.004951,0.004951
53,14214.8,1.34579,0.76891,1.18205,0.85264,0.71079,0.82191,0.51266,1.24935,0.69371,1.17046,0.004852,0.004852,0.004852
54,14471.1,1.34994,0.7724,1.18341,0.85289,0.71126,0.82194,0.51282,1.24848,0.69283,1.1697,0.004753,0.004753,0.004753
55,14730.3,1.34341,0.77271,1.18066,0.85064,0.71319,0.82222,0.51301,1.24789,0.69216,1.16924,0.004654,0.004654,0.004654
56,14987.9,1.34531,0.76923,1.18195,0.85071,0.71354,0.82258,0.51356,1.24698,0.69133,1.16856,0.004555,0.004555,0.004555
57,15244.4,1.34245,0.76686,1.18,0.85268,0.71277,0.82272,0.51398,1.24619,0.69072,1.16823,0.004456,0.004456,0.004456
58,15503.2,1.33976,0.76251,1.17969,0.85258,0.71291,0.82281,0.51432,1.24545,0.68989,1.1677,0.004357,0.004357,0.004357
59,15761.4,1.33793,0.76221,1.17652,0.85303,0.71296,0.82324,0.51468,1.24494,0.68927,1.16725,0.004258,0.004258,0.004258
60,16019.8,1.33601,0.75971,1.17415,0.85311,0.7134,0.82351,0.51499,1.24455,0.68872,1.16695,0.004159,0.004159,0.004159
61,16279.1,1.33575,0.75976,1.17433,0.85402,0.71339,0.82386,0.5153,1.24379,0.68831,1.16652,0.00406,0.00406,0.00406
62,16538.7,1.33153,0.75809,1.17503,0.85415,0.71345,0.82398,0.51562,1.24326,0.68767,1.16628,0.003961,0.003961,0.003961
63,16795.4,1.32314,0.75088,1.17326,0.85285,0.71547,0.82415,0.51585,1.24273,0.68687,1.1659,0.003862,0.003862,0.003862
64,17054.8,1.32649,0.75122,1.17353,0.85312,0.7154,0.82435,0.51612,1.24229,0.68633,1.16553,0.003763,0.003763,0.003763
65,17315.8,1.32145,0.7515,1.17095,0.85358,0.71537,0.82449,0.51623,1.2418,0.68564,1.1652,0.003664,0.003664,0.003664
66,17574.5,1.319,0.74688,1.16855,0.85393,0.71598,0.82465,0.51644,1.24137,0.68513,1.16487,0.003565,0.003565,0.003565
67,17834,1.31623,0.74323,1.16612,0.85469,0.71577,0.82494,0.51678,1.24102,0.68451,1.16455,0.003466,0.003466,0.003466
68,18096.3,1.31828,0.74714,1.16536,0.85477,0.71585,0.82508,0.51695,1.24062,0.68387,1.16418,0.003367,0.003367,0.003367
69,18356.1,1.31385,0.74287,1.16597,0.85513,0.7157,0.82519,0.51706,1.24011,0.68335,1.16382,0.003268,0.003268,0.003268
70,18615.9,1.31765,0.744,1.16577,0.85522,0.71574,0.82532,0.51735,1.23967,0.68285,1.16352,0.003169,0.003169,0.003169
71,18875.8,1.31286,0.74152,1.16172,0.85574,0.71599,0.82563,0.5176,1.23927,0.68226,1.16315,0.00307,0.00307,0.00307
